Species_nr;Species_name;Sci_name
70;Little Grebe;Tachybaptus ruficollis
90;Great Crested Grebe;Podiceps cristatus
1110;Cattle Egret;Bubulcus ibis
1190;Little Egret;Egretta garzetta
1220;Grey Heron;Ardea cinerea
1340;White Stork;Ciconia ciconia
1520;Mute Swan;Cygnus olor
1730;Common Shelduck;Tadorna tadorna
1860;Mallard;Anas platyrhynchos
2600;Western Marsh-harrier;Circus aeruginosus
2690;Eurasian Sparrowhawk;Accipiter nisus
2870;Eurasian Buzzard;Buteo buteo
3040;Common Kestrel;Falco tinnunculus
3260;Hazel Grouse;Bonasa bonasia
3320;Black Grouse;Lyrurus tetrix
3580;Red-legged Partridge;Alectoris rufa
3670;Grey Partridge;Perdix perdix
3940;Common Pheasant;Phasianus colchicus
4240;Common Moorhen;Gallinula chloropus
4290;Common Coot;Fulica atra
4330;Common Crane;Grus grus
4420;Little Bustard;Tetrax tetrax
4500;Eurasian Oystercatcher;Haematopus ostralegus
4590;Eurasian Thick-knee;Burhinus oedicnemus
4850;Eurasian Golden Plover;Pluvialis apricaria
4930;Northern Lapwing;Vanellus vanellus
5190;Common Snipe;Gallinago gallinago
5320;Black-tailed Godwit;Limosa limosa
5380;Whimbrel;Numenius phaeopus
5410;Eurasian Curlew;Numenius arquata
5450;Spotted Redshank;Tringa erythropus
5460;Common Redshank;Tringa totanus
5480;Common Greenshank;Tringa nebularia
5530;Green Sandpiper;Tringa ochropus
5540;Wood Sandpiper;Tringa glareola
5560;Common Sandpiper;Actitis hypoleucos
5820;Black-headed Gull;Larus ridibundus
6680;Stock Dove;Columba oenas
6700;Common Woodpigeon;Columba palumbus
6840;Eurasian Collared-dove;Streptopelia decaocto
6870;European Turtle-dove;Streptopelia turtur
7160;Great Spotted Cuckoo;Clamator glandarius
7240;Common Cuckoo;Cuculus canorus
7950;Common Swift;Apus apus
8310;Common Kingfisher;Alcedo atthis
8400;European Bee-eater;Merops apiaster
8460;Common Hoopoe;Upupa epops
8480;Eurasian Wryneck;Jynx torquilla
8550;Grey-faced Woodpecker;Picus canus
8560;Eurasian Green Woodpecker / Iberian Green Woodpecker;Picus viridis / Picus sharpei
8630;Black Woodpecker;Dryocopus martius
8760;Great Spotted Woodpecker;Dendrocopos major
8780;Syrian Woodpecker;Dendrocopos syriacus
8830;Middle Spotted Woodpecker;Leiopicus medius
8870;Lesser Spotted Woodpecker;Dryobates minor
9610;Calandra Lark;Melanocorypha calandra
9680;Greater Short-toed Lark;Calandrella brachydactyla
9720;Crested Lark;Galerida cristata
9730;Thekla's Lark;Galerida theklae
9740;Woodlark;Lullula arborea
9760;Eurasian Skylark;Alauda arvensis
9910;Eurasian Crag Martin;Ptyonoprogne rupestris
9920;Barn Swallow;Hirundo rustica
9950;Red-rumped Swallow;Cecropis daurica
10010;Northern House Martin;Delichon urbicum
10050;Tawny Pipit;Anthus campestris
10090;Tree Pipit;Anthus trivialis
