"Species_nr";"Country_code";"Country";"SciName";"Population size (geomean)";"Population size_min";"Population size_max";"Weight";"Weight_Year_First";"Weight_Year_Last";"Year_first";"Year_last"
1860;62;"Norway Old";"Anas platyrhynchos";56902,54827;23;34;1;2013;2018;1996;2008
1860;63;"Norway New";"Anas platyrhynchos";56902,54827;23;34;1;2013;2018;2008;2022
3320;62;"Norway Old";"Lyrurus tetrix";70710,67812;28;2;1;2013;2018;1996;2008
3320;63;"Norway New";"Lyrurus tetrix";70710,67812;28;2;1;2013;2018;2007;2022
4930;62;"Norway Old";"Vanellus vanellus";8660,254038;30;4;1;2013;2018;1996;2008
4930;63;"Norway New";"Vanellus vanellus";8660,254038;30;4;1;2013;2018;2007;2022
5190;62;"Norway Old";"Gallinago gallinago";61237,24357;28;33;1;2013;2018;1996;2008
5190;63;"Norway New";"Gallinago gallinago";61237,24357;28;33;1;2013;2018;2007;2022
5410;62;"Norway Old";"Numenius arquata";2449,489743;2000;3000;1;2013;2018;1996;2008
5410;63;"Norway New";"Numenius arquata";2449,489743;2000;3000;1;2013;2018;2007;2022
5460;62;"Norway Old";"Tringa totanus";29580,39892;15;22;1;2013;2018;1996;2008
5460;63;"Norway New";"Tringa totanus";29580,39892;15;22;1;2013;2018;2007;2022
5560;62;"Norway Old";"Actitis hypoleucos";122474,4871;1;10;1;2013;2018;1996;2008
5560;63;"Norway New";"Actitis hypoleucos";122474,4871;1;10;1;2013;2018;2007;2022
6700;62;"Norway Old";"Columba palumbus";494974,7468;19;31;1;2013;2018;1996;2008
6700;63;"Norway New";"Columba palumbus";494974,7468;19;31;1;2013;2018;2007;2022
7240;62;"Norway Old";"Cuculus canorus";8660,254038;27;9;1;2013;2018;1996;2008
7240;63;"Norway New";"Cuculus canorus";8660,254038;27;9;1;2013;2018;2007;2022
7950;62;"Norway Old";"Apus apus";49497,47468;18;32;1;2013;2018;1996;2008
7950;63;"Norway New";"Apus apus";49497,47468;18;32;1;2013;2018;2008;2022
8760;62;"Norway Old";"Dendrocopos major";18708,28693;3;22;1;2013;2018;1996;2008
8760;63;"Norway New";"Dendrocopos major";18708,28693;3;22;1;2013;2018;2008;2022
9760;62;"Norway Old";"Alauda arvensis";173205,0808;1;21;1;2013;2018;1996;2008
9760;63;"Norway New";"Alauda arvensis";173205,0808;1;21;1;2013;2018;2008;2022
9920;62;"Norway Old";"Hirundo rustica";38729,83346;17;29;1;2013;2018;1996;2008
9920;63;"Norway New";"Hirundo rustica";38729,83346;17;29;1;2013;2018;2008;2022
10010;62;"Norway Old";"Delichon urbicum";48989,79486;17;36;1;2013;2018;1996;2008
10010;63;"Norway New";"Delichon urbicum";48989,79486;17;36;1;2013;2018;2008;2022
10090;62;"Norway Old";"Anthus trivialis";1303840,481;2;14;1;2013;2018;1996;2008
10090;63;"Norway New";"Anthus trivialis";1303840,481;2;14;1;2013;2018;2007;2022
10110;62;"Norway Old";"Anthus pratensis";3741657,387;20;26;1;2013;2018;1996;2008
10110;63;"Norway New";"Anthus pratensis";3741657,387;20;26;1;2013;2018;2007;2022
10200;62;"Norway Old";"Motacilla alba";489897,9486;22;30;1;2013;2018;1996;2008
10200;63;"Norway New";"Motacilla alba";489897,9486;22;30;1;2013;2018;2007;2022
10660;62;"Norway Old";"Troglodytes troglodytes";494974,7468;19;31;1;2013;2018;1996;2008
10660;63;"Norway New";"Troglodytes troglodytes";494974,7468;19;31;1;2013;2018;2007;2022
10840;62;"Norway Old";"Prunella modularis";268328,1573;10;25;1;2013;2018;1996;2008
10840;63;"Norway New";"Prunella modularis";268328,1573;10;25;1;2013;2018;2007;2022
10990;62;"Norway Old";"Erithacus rubecula";707106,7812;26;3;1;2013;2018;1996;2008
10990;63;"Norway New";"Erithacus rubecula";707106,7812;26;3;1;2013;2018;2007;2022
11220;62;"Norway Old";"Phoenicurus phoenicurus";256173,7691;9;24;1;2013;2018;1996;2008
11220;63;"Norway New";"Phoenicurus phoenicurus";256173,7691;9;24;1;2013;2018;2007;2022
11370;62;"Norway Old";"Saxicola rubetra";109544,5115;32;10;1;2013;2018;1996;2008
11370;63;"Norway New";"Saxicola rubetra";109544,5115;32;10;1;2013;2018;2007;2022
11870;62;"Norway Old";"Turdus merula";387298,3346;16;30;1;2013;2018;1996;2008
11870;63;"Norway New";"Turdus merula";387298,3346;16;30;1;2013;2018;2007;2022
11980;62;"Norway Old";"Turdus pilaris";561248,608;19;38;1;2013;2018;1996;2008
11980;63;"Norway New";"Turdus pilaris";561248,608;19;38;1;2013;2018;2007;2022
12000;62;"Norway Old";"Turdus philomelos";1224744,871;2;11;1;2013;2018;1996;2008
12000;63;"Norway New";"Turdus philomelos";1224744,871;2;11;1;2013;2018;2007;2022
12010;62;"Norway Old";"Turdus iliacus";1581138,83;2;19;1;2013;2018;1996;2008
12010;63;"Norway New";"Turdus iliacus";1581138,83;2;19;1;2013;2018;2007;2022
12590;62;"Norway Old";"Hippolais icterina";44721,35955;13;2;1;2013;2018;1996;2008
