B_sel;Schedule_code;Species_nr;Level1;Level2;Weight
1;COMB;10010;62;14;1
1;COMB;10010;63;14;1
1;COMB;10090;62;14;1
1;COMB;10090;63;14;1
1;COMB;10110;62;14;1
1;COMB;10110;63;14;1
1;COMB;10200;62;14;1
1;COMB;10200;63;14;1
1;COMB;10660;62;14;1
1;COMB;10660;63;14;1
1;COMB;10840;62;14;1
1;COMB;10840;63;14;1
1;COMB;10990;62;14;1
1;COMB;10990;63;14;1
1;COMB;11220;62;14;1
1;COMB;11220;63;14;1
1;COMB;11370;62;14;1
1;COMB;11370;63;14;1
1;COMB;11870;62;14;1
1;COMB;11870;63;14;1
1;COMB;11980;62;14;1
1;COMB;11980;63;14;1
1;COMB;12000;62;14;1
1;COMB;12000;63;14;1
1;COMB;12010;62;14;1
1;COMB;12010;63;14;1
1;COMB;12590;62;14;1
1;COMB;12590;63;14;1
1;COMB;12740;62;14;1
1;COMB;12740;63;14;1
1;COMB;12750;62;14;1
1;COMB;12750;63;14;1
1;COMB;12760;62;14;1
1;COMB;12760;63;14;1
1;COMB;12770;62;14;1
1;COMB;12770;63;14;1
1;COMB;13110;62;14;1
1;COMB;13110;63;14;1
1;COMB;13120;62;14;1
1;COMB;13120;63;14;1
1;COMB;13140;62;14;1
1;COMB;13140;63;14;1
1;COMB;13350;62;14;1
1;COMB;13350;63;14;1
1;COMB;13490;62;14;1
1;COMB;13490;63;14;1
1;COMB;14420;62;14;1
1;COMB;14420;63;14;1
1;COMB;14540;62;14;1
1;COMB;14540;63;14;1
1;COMB;14610;62;14;1
1;COMB;14610;63;14;1
1;COMB;14620;62;14;1
1;COMB;14620;63;14;1
1;COMB;14640;62;14;1
1;COMB;14640;63;14;1
1;COMB;15390;62;14;1
1;COMB;15390;63;14;1
1;COMB;15490;62;14;1
1;COMB;15490;63;14;1
1;COMB;15670;62;14;1
1;COMB;15670;63;14;1
1;COMB;15720;62;14;1
1;COMB;15720;63;14;1
1;COMB;15820;62;14;1
1;COMB;15820;63;14;1
1;COMB;15910;62;14;1
1;COMB;15910;63;14;1
1;COMB;16360;62;14;1
1;COMB;16360;63;14;1
1;COMB;16380;62;14;1
1;COMB;16380;63;14;1
1;COMB;16490;62;14;1
1;COMB;16490;63;14;1
1;COMB;16540;62;14;1
1;COMB;16540;63;14;1
1;COMB;16630;62;14;1
1;COMB;16630;63;14;1
1;COMB;17100;62;14;1
1;COMB;17100;63;14;1
1;COMB;18570;62;14;1
1;COMB;18570;63;14;1
1;COMB;1860;62;14;1
1;COMB;1860;63;14;1
1;COMB;18770;62;14;1
1;COMB;18770;63;14;1
1;COMB;3320;62;14;1
1;COMB;3320;63;14;1
1;COMB;4930;62;14;1
1;COMB;4930;63;14;1
1;COMB;5190;62;14;1
1;COMB;5190;63;14;1
1;COMB;5410;62;14;1
1;COMB;5410;63;14;1
1;COMB;5460;62;14;1
1;COMB;5460;63;14;1
1;COMB;5560;62;14;1
1;COMB;5560;63;14;1
1;COMB;6700;62;14;1
1;COMB;6700;63;14;1
1;COMB;7240;62;14;1
1;COMB;7240;63;14;1
1;COMB;7950;62;14;1
1;COMB;7950;63;14;1
1;COMB;8760;62;14;1
1;COMB;8760;63;14;1
1;COMB;9760;62;14;1
1;COMB;9760;63;14;1
1;COMB;9920;62;14;1
1;COMB;9920;63;14;1
