EURINGCode,Species,Species_Norwegian_NI
20,Gavia stellata,Smålom
30,Gavia arctica,Storlom
1860,Anas platyrhynchos,Stokkand
1840,Anas crecca,Krikkand
2030,Aythya fuligula,Toppand
2180,Bucephala clangula,Kvinand
2210,Mergus serrator,Siland
2900,Buteo lagopus,Fjellvåk
4330,Grus grus,Trane
4500,Haematopus ostralegus,Tjeld
4850,Pluvialis apricaria,Heilo
5380,Numenius phaeopus,Småspove
5460,Tringa totanus,Rødstilk
5480,Tringa nebularia,Gluttsnipe
5540,Tringa glareola,Grønnstilk
5560,Actitis hypoleucos,Strandsnipe
5190,Gallinago gallinago,Enkeltbekkasin
5900,Larus canus,Fiskemåke ferskvann
6700,Columba palumbus,Ringdue
8560,Picus viridis,Grønnspett
8630,Dryocopus martius,Svartspett
8760,Dendrocopos major,Flaggspett
15720,Corvus corax,Ravn
15390,Garrulus glandarius,Nøtteskrike
14610,Periparus ater,Svartmeis
14540,Lophophanes cristatus,Toppmeis
14420,Poecile montanus,Granmeis
14860,Certhia familiaris,Trekryper
10660,Troglodytes troglodytes,Gjerdesmett
10990,Erithacus rubecula,Rødstrupe
11060,Luscinia svecica,Blåstrupe
11220,Phoenicurus phoenicurus,Rødstjert
11460,Oenanthe oenanthe,Steinskvett
11860,Turdus torquatus,Ringtrost
11870,Turdus merula,Svarttrost
12010,Turdus iliacus,Rødvingetrost
12000,Turdus philomelos,Måltrost
12020,Turdus viscivorus,Duetrost
12590,Hippolais icterina,Gulsanger
12770,Sylvia atricapilla,Munk
12760,Sylvia borin,Hagesanger
13110,Phylloscopus collybita,Gransanger
13140,Regulus regulus,Fuglekonge
13350,Muscicapa striata,Grå fluesnapper
13490,Ficedula hypoleuca,Svarthvit fluesnapper
10840,Prunella modularis,Jernspurv
10110,Anthus pratensis,Heipiplerke
10090,Anthus trivialis,Trepiplerke
10170,Motacilla flava,Gulerle
17100,Pyrrhula pyrrhula,Dompap
16360,Fringilla coelebs,Bokfink
16380,Fringilla montifringilla,Bjørkefink
18470,Calcarius lapponicus,Lappspurv
18500,Plectrophenax nivalis,Snøspurv
10500,Cinclus cinclus,Fossekall
12430,Acrocephalus schoenobaenus,Sivsanger
10142,Anthus petrosus,Skjærpiplerke
2040,Aythya marila,Bergand
5120,Calidris alpina,Myrsnipe
4820,Charadrius morinellus,Boltit
2120,Clangula hyemalis,Havelle
9780,Eremophila alpestris,Fjellerke
5200,Gallinago media,Dobbeltbekkasin
2150,Melanitta fusca,Sjøorre
2130,Melanitta nigra,Svartand
5640,Phalaropus lobatus,Svømmesnipe
